,MediterraneanAve.,BalticAve.,ReadingRailroad,OrientalAve.,VermontAve.,ConnecticutAve.,St.CharlesPlace,ElectricCompany,StatesAve.,VirginiaAve.,PennsylvaniaRailroad,St.JamesPlace,TennesseeAve.,NewYorkAve.,KentuckyAve.,IndianaAve.,IllinoisAve.,B.andO.Railroad,AtlanticAve.,VentnorAve.,WaterWorks,MarvinGardens,PacificAve.,NorthCarolinaAve.,PennsylvaniaAve.,ShortLineRailroad,ParkPlace,Boardwalk
MediterraneanAve.,0.0,460.0,1138.0,1376.0,1381.0,1376.0,1553.0,1469.0,1469.0,1537.0,1130.0,1559.0,1561.0,1561.0,1635.0,1648.0,1665.0,1146.0,1700.0,1703.0,1486.0,1722.0,1719.0,1701.0,1709.0,1090.0,1520.0,1602.0
BalticAve.,426.0,0.0,1540.0,1795.0,1847.0,1801.0,2008.0,1949.0,1862.0,1955.0,1503.0,1983.0,1957.0,1957.0,2078.0,2099.0,2126.0,1544.0,2150.0,2140.0,1939.0,2165.0,2192.0,2173.0,2197.0,1466.0,1910.0,2004.0
ReadingRailroad,1724.0,2492.0,0.0,2411.0,2450.0,2392.0,2652.0,2540.0,2483.0,2608.0,852.0,2670.0,2657.0,2604.0,2743.0,2735.0,2820.0,906.0,2771.0,2768.0,2527.0,2772.0,2866.0,2816.0,2802.0,903.0,2511.0,2676.0
OrientalAve.,1450.0,2075.0,1734.0,0.0,882.0,836.0,2239.0,2159.0,2101.0,2159.0,1714.0,2235.0,2208.0,2202.0,2340.0,2355.0,2408.0,1741.0,2387.0,2386.0,2143.0,2423.0,2457.0,2476.0,2491.0,1667.0,2224.0,2304.0
VermontAve.,1421.0,2034.0,1711.0,812.0,0.0,797.0,2247.0,2148.0,2108.0,2171.0,1698.0,2193.0,2169.0,2169.0,2285.0,2318.0,2356.0,1683.0,2343.0,2361.0,2128.0,2363.0,2418.0,2425.0,2427.0,1613.0,2165.0,2258.0
ConnecticutAve.,1440.0,2064.0,1719.0,844.0,881.0,0.0,2224.0,2198.0,2115.0,2164.0,1721.0,2205.0,2190.0,2181.0,2304.0,2290.0,2362.0,1730.0,2365.0,2385.0,2157.0,2397.0,2460.0,2475.0,2479.0,1660.0,2184.0,2294.0
St.CharlesPlace,1367.0,2006.0,1669.0,1963.0,2025.0,1934.0,0.0,2098.0,766.0,819.0,1647.0,2089.0,2114.0,2089.0,2274.0,2262.0,2317.0,1666.0,2302.0,2307.0,2091.0,2282.0,2376.0,2377.0,2360.0,1588.0,2085.0,2200.0
ElectricCompany,1331.0,1903.0,1509.0,1842.0,1887.0,1891.0,2070.0,0.0,1961.0,2073.0,1476.0,1979.0,1983.0,1946.0,2141.0,2152.0,2198.0,1499.0,2218.0,2212.0,783.0,2205.0,2274.0,2298.0,2302.0,1450.0,1964.0,2096.0
StatesAve.,1371.0,2007.0,1646.0,1934.0,2029.0,1962.0,862.0,2126.0,0.0,867.0,1616.0,2168.0,2157.0,2152.0,2274.0,2282.0,2332.0,1645.0,2305.0,2316.0,2116.0,2294.0,2416.0,2378.0,2403.0,1594.0,2124.0,2216.0
VirginiaAve.,1390.0,1981.0,1647.0,1897.0,1987.0,1891.0,832.0,2087.0,779.0,0.0,1612.0,2047.0,2058.0,2050.0,2250.0,2217.0,2294.0,1661.0,2262.0,2274.0,2082.0,2247.0,2348.0,2336.0,2312.0,1608.0,2054.0,2163.0
