,Brown,Light Blue,Pink,Orange,Red,Yellow,Green,Dark Blue,Utility,Railroad
Brown,0.0,0.11159765375457344,0.1131886875504365,0.11162941862465826,0.11295106727567193,0.11236550490664597,0.11192173148511889,0.11515066277557048,0.11945423087611723,0.11495224013706025
Light Blue,0.11568307497053758,0.0,0.11459173941750422,0.11721184545089568,0.11479810019471184,0.11336859935839808,0.11281029612585816,0.11667135473436237,0.11871016324664498,0.13208477082306555
Pink,0.09958299338228628,0.09964574017074163,0.0,0.10116236832546313,0.09820209997634342,0.0993915191203051,0.09784499691340703,0.10011954572624028,0.09815417439869474,0.0979135863315262
Orange,0.11233795666757321,0.115302863116325,0.11343628493874257,0.0,0.11318763306825833,0.11219516811295221,0.11187496492507996,0.11465841566752225,0.11464916763036871,0.12222769837358305
Red,0.1029371770465053,0.10429177071839248,0.10425684102413615,0.10555948534612958,0.0,0.10415148618852497,0.10363469704622406,0.1054991034070532,0.10288752028256641,0.10342885305921284
Yellow,0.09776992113135709,0.09836808177013764,0.09966253393001247,0.10105721987496893,0.09950321183556858,0.0,0.0975550442411658,0.09955697760275659,0.09870998395324028,0.09695134830669577
Green,0.09194995920587436,0.0923979325164063,0.09231714474359914,0.0943372779933852,0.09465361308754754,0.09342026818581851,0.0,0.09359727154460111,0.09186994056423635,0.0888075289258138
Dark Blue,0.11971716072885505,0.11980951274754631,0.11864500036681094,0.12046188846617087,0.11978417920768657,0.11992656591560759,0.12075125802046505,0.0,0.124366870164681,0.12196953695228707
Utility,0.12876439126099176,0.12509437249549915,0.12186376641478981,0.12097807176859694,0.12043018579513402,0.12112838662666907,0.1216024094131732,0.12485496290566436,0.0,0.12166443709075547
Railroad,0.1312573656060194,0.13349207271037808,0.12203800161396816,0.12760242414973139,0.12648990955907777,0.1240525015850785,0.12200460182950783,0.1298917056362294,0.13119794888345032,0.0
