,Brown,Light Blue,Pink,Orange,Red,Yellow,Green,Dark Blue,Utility,Railroad
Brown,0.0,0.0008569429870584121,0.0014847662977847287,0.0010361962178838048,0.001456768259590391,0.0013328446236379994,0.0015521924718665113,0.0030991735537190084,0.00557607862270858,0.0
Light Blue,0.16487226708221184,0.0,0.003603032882624275,0.001554294326825707,0.0017709731783255734,0.0018993035886841491,0.002328288707799767,0.006069214876033058,0.005157872726005436,0.0023957834211787254
Pink,0.12430939226519337,0.19805876180482687,0.0,0.0008006970774556673,0.0009426147562055471,0.0008330278897737497,0.001212650368645712,0.002840909090909091,0.002160730466299575,0.0009583133684714902
Orange,0.12558436039099022,0.16376355369010143,0.20426424880723773,0.0,0.030535005284355453,0.012662023924560995,0.004511059371362049,0.005940082644628099,0.013382588694500593,0.011260182079540009
Red,0.1069084384001511,0.1323189926547744,0.17118365569259397,0.20747474271718908,0.0,0.08137016427309986,0.06058401241753977,0.02440599173553719,0.024255942008782325,0.10541447053186392
Yellow,0.10589318600368323,0.12044421126267926,0.15245580345653595,0.2023408614558557,0.20937473221171699,0.0,0.027066356228172293,0.016399793388429753,0.029762319648707045,0.08552946813608049
Green,0.09264768380790481,0.0950682056663169,0.12790766733316175,0.17396321503426512,0.20029135365191808,0.28446236379994,0.0,0.03615702479338843,0.10106642503659302,0.2041207474844274
Dark Blue,0.060513764933654436,0.04935292060160895,0.06558707659414408,0.08273084803240469,0.11219972007198149,0.13928226317017095,0.21769499417927823,0.0,0.24332613089844568,0.25563009103977
Utility,0.06112763847570477,0.07878628891220707,0.08714588323797834,0.09573040058403787,0.11197120740381045,0.1149245276731865,0.11263096623981374,0.05539772727272727,0.0,0.33469094393866794
Railroad,0.1581432686405062,0.16135012242042673,0.18636786569793914,0.23436874455408238,0.33145762518209604,0.3632334810569458,0.5724194800155219,0.8496900826446281,0.5753119118979577,0.0
