,MediterraneanAve.,BalticAve.,ReadingRailroad,OrientalAve.,VermontAve.,ConnecticutAve.,St.CharlesPlace,ElectricCompany,StatesAve.,VirginiaAve.,PennsylvaniaRailroad,St.JamesPlace,TennesseeAve.,NewYorkAve.,KentuckyAve.,IndianaAve.,IllinoisAve.,B.andO.Railroad,AtlanticAve.,VentnorAve.,WaterWorks,MarvinGardens,PacificAve.,NorthCarolinaAve.,PennsylvaniaAve.,ShortLineRailroad,ParkPlace,Boardwalk
MediterraneanAve.,0.0,9361.0,14601.0,23811.0,23880.0,23787.0,27003.0,24385.0,26238.0,26504.0,14865.0,25011.0,25237.0,25307.0,26011.0,25836.0,26233.0,14827.0,26169.0,25995.0,24416.0,25956.0,26378.0,26198.0,26212.0,14986.0,25054.0,25821.0
BalticAve.,8807.0,0.0,14595.0,23874.0,23994.0,23911.0,27053.0,24459.0,26341.0,26586.0,14805.0,24997.0,25162.0,25299.0,25959.0,25784.0,26304.0,14887.0,26226.0,26170.0,24426.0,26010.0,26369.0,26243.0,26180.0,15017.0,25176.0,25886.0
ReadingRailroad,32710.0,33435.0,0.0,34088.0,34260.0,34194.0,37595.0,34244.0,36313.0,36992.0,11388.0,35485.0,35808.0,35896.0,36528.0,36424.0,37192.0,11662.0,37029.0,37057.0,34233.0,36785.0,37267.0,37112.0,36865.0,12089.0,34728.0,35993.0
OrientalAve.,24705.0,25113.0,16424.0,0.0,10102.0,10005.0,28626.0,25617.0,27918.0,28245.0,16607.0,26594.0,26791.0,26963.0,27475.0,27369.0,27801.0,16645.0,27928.0,27979.0,25699.0,27745.0,27991.0,27928.0,27691.0,16596.0,26272.0,27041.0
VermontAve.,24694.0,25171.0,16380.0,10025.0,0.0,10220.0,28814.0,25759.0,28122.0,28498.0,16625.0,26568.0,26814.0,26834.0,27549.0,27411.0,27811.0,16582.0,27991.0,28104.0,25772.0,27738.0,28017.0,27966.0,27837.0,16586.0,26412.0,27089.0
ConnecticutAve.,24622.0,25109.0,16325.0,9960.0,10277.0,0.0,28788.0,25756.0,28153.0,28409.0,16577.0,26573.0,26781.0,26877.0,27475.0,27369.0,27827.0,16508.0,27864.0,27983.0,25693.0,27715.0,27983.0,27889.0,27652.0,16557.0,26336.0,27117.0
St.CharlesPlace,22543.0,23070.0,13899.0,23183.0,23376.0,23311.0,0.0,23335.0,9834.0,9959.0,14206.0,24211.0,24360.0,24420.0,25352.0,25319.0,25648.0,14254.0,25697.0,25554.0,23207.0,25428.0,25882.0,25732.0,25600.0,14361.0,24115.0,24829.0
ElectricCompany,23636.0,24074.0,14429.0,23810.0,24065.0,24069.0,27139.0,0.0,26355.0,26708.0,14568.0,25051.0,25116.0,25262.0,26131.0,25930.0,26435.0,14725.0,26352.0,26224.0,9801.0,26327.0,26381.0,26480.0,26222.0,14866.0,25259.0,26108.0
StatesAve.,22185.0,22741.0,13556.0,22911.0,23163.0,23154.0,10190.0,22960.0,0.0,10350.0,13870.0,24120.0,24320.0,24401.0,25048.0,25041.0,25271.0,13890.0,25335.0,25369.0,22890.0,25253.0,25518.0,25340.0,25181.0,14054.0,23868.0,24521.0
VirginiaAve.,22188.0,22727.0,13719.0,22948.0,23189.0,23106.0,10012.0,23035.0,10033.0,0.0,14102.0,24193.0,24402.0,24405.0,25194.0,25144.0,25456.0,14055.0,25467.0,25435.0,23066.0,25307.0,25679.0,25501.0,25382.0,14089.0,23952.0,24695.0
