,MediterraneanAve.,BalticAve.,ReadingRailroad,OrientalAve.,VermontAve.,ConnecticutAve.,St.CharlesPlace,ElectricCompany,StatesAve.,VirginiaAve.,PennsylvaniaRailroad,St.JamesPlace,TennesseeAve.,NewYorkAve.,KentuckyAve.,IndianaAve.,IllinoisAve.,B.andO.Railroad,AtlanticAve.,VentnorAve.,WaterWorks,MarvinGardens,PacificAve.,NorthCarolinaAve.,PennsylvaniaAve.,ShortLineRailroad,ParkPlace,Boardwalk
MediterraneanAve.,0.0,21659.0,21277.0,21990.0,21572.0,21915.0,22853.0,24488.0,22527.0,23397.0,21081.0,22978.0,22242.0,23026.0,24176.0,23685.0,24156.0,20496.0,23757.0,23554.0,24051.0,23624.0,24197.0,24211.0,23966.0,20389.0,20765.0,21406.0
BalticAve.,21065.0,0.0,22236.0,23189.0,22785.0,22812.0,23027.0,25087.0,22814.0,23543.0,21891.0,23392.0,22776.0,23566.0,24410.0,24158.0,24559.0,21222.0,24146.0,24125.0,24259.0,24115.0,24956.0,24823.0,24584.0,20804.0,20806.0,21291.0
ReadingRailroad,24660.0,26254.0,0.0,26598.0,26142.0,26079.0,25689.0,27237.0,24706.0,25670.0,23500.0,25834.0,25639.0,26068.0,27003.0,26863.0,27213.0,22809.0,26861.0,26540.0,26960.0,26541.0,27652.0,27697.0,27610.0,22523.0,23253.0,24030.0
OrientalAve.,22979.0,24730.0,23960.0,0.0,23617.0,23617.0,24739.0,26327.0,23377.0,24339.0,22861.0,24212.0,23964.0,24719.0,25758.0,25238.0,25765.0,22262.0,25311.0,25233.0,25482.0,25054.0,25987.0,26017.0,26013.0,22069.0,21836.0,22320.0
VermontAve.,22687.0,24482.0,23674.0,23738.0,0.0,24456.0,25767.0,27216.0,24323.0,24696.0,22565.0,24056.0,23873.0,24545.0,26055.0,25235.0,25900.0,22298.0,25359.0,25341.0,25627.0,25175.0,26219.0,26244.0,26064.0,22364.0,22003.0,22492.0
ConnecticutAve.,22326.0,23675.0,22786.0,22968.0,23651.0,0.0,25644.0,27097.0,24360.0,24595.0,22589.0,23562.0,23364.0,24209.0,25678.0,24924.0,25490.0,21950.0,24879.0,24808.0,25284.0,24775.0,25915.0,25790.0,25630.0,21762.0,21730.0,22378.0
St.CharlesPlace,23178.0,23959.0,22320.0,24168.0,24956.0,25627.0,0.0,28074.0,23043.0,23545.0,23808.0,24769.0,23472.0,24434.0,25892.0,25687.0,26274.0,22463.0,25564.0,25358.0,25492.0,25369.0,26546.0,26333.0,26347.0,22557.0,22459.0,23101.0
ElectricCompany,20544.0,21597.0,19404.0,21295.0,21945.0,22690.0,23567.0,0.0,23092.0,23435.0,21434.0,22329.0,21246.0,21478.0,22987.0,22620.0,23502.0,19973.0,22920.0,22595.0,21481.0,22671.0,23786.0,23863.0,23716.0,19957.0,19737.0,20230.0
StatesAve.,22718.0,23461.0,21235.0,22532.0,23334.0,24150.0,22709.0,27327.0,0.0,23178.0,23585.0,24986.0,23906.0,24269.0,25218.0,25082.0,25432.0,22016.0,25181.0,24977.0,25016.0,25069.0,25943.0,25914.0,25911.0,21864.0,22151.0,22595.0
VirginiaAve.,22707.0,23350.0,21194.0,22585.0,22757.0,23473.0,22284.0,26778.0,22375.0,0.0,23616.0,25045.0,24040.0,24271.0,24757.0,24630.0,25064.0,21640.0,25012.0,24950.0,24857.0,24856.0,25831.0,25886.0,25802.0,21725.0,22055.0,22447.0
PennsylvaniaRailroad,23183.0,24711.0,22181.0,24245.0,23813.0,24634.0,25878.0,27967.0,25761.0,26750.0,0.0,26495.0,25522.0,25808.0,26173.0,25331.0,26168.0,21611.0,25887.0,25803.0,26432.0,25698.0,26776.0,26731.0,26701.0,21542.0,22660.0,23377.0
St.JamesPlace,23588.0,24636.0,22919.0,24006.0,23669.0,23999.0,25214.0,27284.0,25575.0,26634.0,24851.0,0.0,23149.0,23407.0,26557.0,25240.0,25971.0,22551.0,25991.0,25776.0,26058.0,25985.0,26918.0,26825.0,26864.0,22763.0,22861.0,23548.0
