,MediterraneanAve.,BalticAve.,ReadingRailroad,OrientalAve.,VermontAve.,ConnecticutAve.,St.CharlesPlace,ElectricCompany,StatesAve.,VirginiaAve.,PennsylvaniaRailroad,St.JamesPlace,TennesseeAve.,NewYorkAve.,KentuckyAve.,IndianaAve.,IllinoisAve.,B.andO.Railroad,AtlanticAve.,VentnorAve.,WaterWorks,MarvinGardens,PacificAve.,NorthCarolinaAve.,PennsylvaniaAve.,ShortLineRailroad,ParkPlace,Boardwalk
MediterraneanAve.,0.0,7768.0,14971.0,20174.0,20437.0,20340.0,22868.0,21141.0,21954.0,22325.0,14679.0,21270.0,21303.0,21249.0,22752.0,22544.0,23044.0,14777.0,22495.0,22577.0,20752.0,22267.0,22991.0,23038.0,22742.0,14384.0,20717.0,21613.0
BalticAve.,7171.0,0.0,16213.0,21775.0,22064.0,22028.0,24257.0,22489.0,23343.0,23676.0,15879.0,22586.0,22601.0,22517.0,24060.0,23905.0,24416.0,16024.0,23926.0,23949.0,22036.0,23760.0,24538.0,24450.0,24163.0,15572.0,22038.0,22822.0
ReadingRailroad,26858.0,29911.0,0.0,30458.0,30783.0,30574.0,33091.0,30993.0,31557.0,32280.0,10528.0,31008.0,31276.0,31138.0,32887.0,32663.0,33410.0,10609.0,32537.0,32523.0,30312.0,32303.0,33259.0,33167.0,32689.0,10775.0,29652.0,31080.0
OrientalAve.,21316.0,23582.0,18227.0,0.0,9536.0,9506.0,26326.0,24175.0,25280.0,25786.0,18193.0,24484.0,24599.0,24628.0,26388.0,26053.0,26744.0,18128.0,26111.0,25978.0,23871.0,25789.0,26673.0,26683.0,26327.0,17492.0,23730.0,24740.0
VermontAve.,21370.0,23706.0,18346.0,9453.0,0.0,9549.0,26397.0,24196.0,25416.0,25845.0,18166.0,24615.0,24715.0,24568.0,26346.0,26074.0,26826.0,18308.0,26155.0,26048.0,23820.0,25894.0,26800.0,26761.0,26492.0,17503.0,23819.0,24860.0
ConnecticutAve.,21381.0,23686.0,18077.0,9447.0,9597.0,0.0,26339.0,24327.0,25303.0,25759.0,18026.0,24409.0,24668.0,24613.0,26328.0,26023.0,26759.0,18087.0,26283.0,26117.0,23868.0,25873.0,26659.0,26750.0,26390.0,17388.0,23714.0,24800.0
St.CharlesPlace,20384.0,22650.0,16852.0,22839.0,23058.0,22965.0,0.0,23244.0,9572.0,9525.0,16803.0,23450.0,23465.0,23398.0,25344.0,25255.0,25812.0,16883.0,25095.0,25102.0,22870.0,24868.0,25572.0,25594.0,25231.0,16287.0,22789.0,23681.0
ElectricCompany,20467.0,22491.0,16654.0,22468.0,22610.0,22686.0,25100.0,0.0,24127.0,24491.0,16402.0,23043.0,23128.0,23135.0,24836.0,24609.0,25239.0,16480.0,24638.0,24583.0,9748.0,24401.0,25464.0,25543.0,25228.0,15996.0,22791.0,23740.0
StatesAve.,20118.0,22230.0,16378.0,22261.0,22512.0,22349.0,9974.0,22764.0,0.0,9776.0,16311.0,23137.0,23240.0,23139.0,24738.0,24698.0,25164.0,16318.0,24642.0,24692.0,22443.0,24428.0,25089.0,25048.0,24635.0,15790.0,22439.0,23402.0
VirginiaAve.,20283.0,22375.0,16698.0,22643.0,22795.0,22710.0,9803.0,23060.0,9693.0,0.0,16573.0,23397.0,23472.0,23277.0,25066.0,24934.0,25484.0,16642.0,24935.0,24984.0,22731.0,24731.0,25437.0,25470.0,25103.0,16101.0,22730.0,23511.0
PennsylvaniaRailroad,26366.0,29386.0,10392.0,30112.0,30347.0,30252.0,32950.0,30582.0,31386.0,32047.0,0.0,30892.0,31034.0,30917.0,32453.0,32127.0,32996.0,10522.0,32093.0,32124.0,29995.0,31908.0,32845.0,32891.0,32324.0,10715.0,29368.0,30806.0
St.JamesPlace,22214.0,24529.0,18888.0,24675.0,24989.0,24743.0,27524.0,25225.0,26422.0,26829.0,18699.0,0.0,9951.0,9806.0,27156.0,27139.0,27860.0,18896.0,27142.0,27087.0,24849.0,26808.0,27560.0,27703.0,27393.0,18188.0,24901.0,25946.0
TennesseeAve.,22163.0,24607.0,19054.0,24882.0,25215.0,25077.0,27551.0,25344.0,26529.0,26880.0,18805.0,10006.0,0.0,10137.0,27378.0,27304.0,28026.0,18979.0,27250.0,27243.0,24981.0,26915.0,27764.0,27947.0,27551.0,18327.0,24979.0,26014.0
NewYorkAve.,22176.0,24595.0,19063.0,24935.0,25116.0,25083.0,27611.0,25485.0,26577.0,26824.0,18787.0,9978.0,10269.0,0.0,27365.0,27415.0,28103.0,19089.0,27264.0,27269.0,25009.0,26921.0,27698.0,27956.0,27583.0,18359.0,25004.0,26165.0
KentuckyAve.,20243.0,22364.0,16786.0,22806.0,22830.0,22859.0,25325.0,23060.0,24349.0,24743.0,16587.0,23438.0,23596.0,23515.0,0.0,9896.0,9941.0,16739.0,24879.0,24802.0,22695.0,24689.0,25632.0,25640.0,25266.0,16243.0,22823.0,23805.0
IndianaAve.,20375.0,22392.0,16806.0,22698.0,22720.0,22739.0,25395.0,22977.0,24420.0,24769.0,16561.0,23518.0,23561.0,23585.0,10062.0,0.0,10250.0,16728.0,25037.0,24977.0,22648.0,24905.0,25565.0,25750.0,25266.0,16215.0,22802.0,23704.0
IllinoisAve.,20606.0,22816.0,17127.0,23229.0,23269.0,23235.0,25817.0,23508.0,24776.0,25148.0,16901.0,23924.0,24000.0,24005.0,10030.0,10142.0,0.0,17123.0,25503.0,25360.0,23224.0,25304.0,25835.0,25943.0,25581.0,16583.0,23102.0,24074.0
B.andO.Railroad,26571.0,29641.0,10485.0,30195.0,30505.0,30321.0,33011.0,30661.0,31423.0,32107.0,10535.0,30912.0,31042.0,31010.0,32744.0,32422.0,33290.0,0.0,32412.0,32462.0,30152.0,32140.0,32973.0,32847.0,32519.0,10759.0,29453.0,30944.0
AtlanticAve.,19966.0,22095.0,16514.0,22472.0,22601.0,22691.0,24996.0,22727.0,24056.0,24375.0,16186.0,23121.0,23176.0,23124.0,24768.0,24746.0,25395.0,16448.0,0.0,10066.0,22539.0,10020.0,25195.0,25374.0,25000.0,16061.0,22680.0,23621.0
VentnorAve.,19952.0,21984.0,16448.0,22312.0,22426.0,22523.0,24995.0,22711.0,24086.0,24474.0,16195.0,23097.0,23260.0,23187.0,24727.0,24767.0,25278.0,16471.0,10032.0,0.0,22516.0,10082.0,25185.0,25376.0,24979.0,16070.0,22688.0,23582.0
WaterWorks,20482.0,22549.0,16565.0,22585.0,22665.0,22686.0,25213.0,10316.0,24263.0,24623.0,16394.0,23260.0,23345.0,23288.0,25012.0,24737.0,25481.0,16539.0,25005.0,25040.0,0.0,24833.0,25550.0,25620.0,25213.0,16060.0,22917.0,23878.0
MarvinGardens,19883.0,22029.0,16527.0,22349.0,22502.0,22481.0,25036.0,22752.0,24099.0,24415.0,16286.0,23115.0,23210.0,23139.0,24808.0,24860.0,25380.0,16401.0,10176.0,10237.0,22602.0,0.0,25316.0,25320.0,25070.0,16048.0,22773.0,23608.0
PacificAve.,19402.0,21491.0,15822.0,21781.0,21924.0,21857.0,24260.0,22286.0,23251.0,23725.0,15646.0,22389.0,22520.0,22352.0,24245.0,23972.0,24353.0,15723.0,24021.0,24088.0,21865.0,23833.0,0.0,10533.0,10354.0,15394.0,21798.0,22694.0
NorthCarolinaAve.,18983.0,21058.0,15519.0,21433.0,21582.0,21584.0,23890.0,22055.0,22910.0,23397.0,15485.0,22228.0,22374.0,22293.0,23965.0,23854.0,24158.0,15366.0,23768.0,23833.0,21602.0,23550.0,10218.0,0.0,10149.0,15098.0,21664.0,22569.0
PennsylvaniaAve.,19094.0,21192.0,15556.0,21459.0,21658.0,21519.0,23937.0,22039.0,22881.0,23367.0,15410.0,22198.0,22320.0,22289.0,23905.0,23802.0,24209.0,15535.0,23826.0,23862.0,21613.0,23647.0,10454.0,10493.0,0.0,15087.0,21744.0,22627.0
ShortLineRailroad,25674.0,28537.0,10423.0,29034.0,29219.0,29182.0,31827.0,29658.0,30364.0,30995.0,10372.0,29887.0,30116.0,30026.0,31608.0,31284.0,32120.0,10515.0,31450.0,31424.0,29184.0,31201.0,32012.0,32023.0,31483.0,0.0,28813.0,30117.0
