,MediterraneanAve.,BalticAve.,ReadingRailroad,OrientalAve.,VermontAve.,ConnecticutAve.,St.CharlesPlace,ElectricCompany,StatesAve.,VirginiaAve.,PennsylvaniaRailroad,St.JamesPlace,TennesseeAve.,NewYorkAve.,KentuckyAve.,IndianaAve.,IllinoisAve.,B.andO.Railroad,AtlanticAve.,VentnorAve.,WaterWorks,MarvinGardens,PacificAve.,NorthCarolinaAve.,PennsylvaniaAve.,ShortLineRailroad,ParkPlace,Boardwalk
MediterraneanAve.,0.0,5179.0,13343.0,16383.0,16484.0,16387.0,18162.0,17635.0,17529.0,17893.0,13157.0,17274.0,17373.0,17504.0,19115.0,18845.0,19366.0,13489.0,19151.0,19139.0,17450.0,19155.0,20244.0,20207.0,20135.0,12965.0,17668.0,18536.0
BalticAve.,4647.0,0.0,17900.0,21717.0,21791.0,21693.0,23710.0,23174.0,22876.0,23303.0,17700.0,22270.0,22402.0,22565.0,24535.0,24242.0,24988.0,18059.0,24551.0,24546.0,22827.0,24473.0,25997.0,25976.0,25724.0,17252.0,22483.0,23658.0
ReadingRailroad,19685.0,28283.0,0.0,28773.0,28993.0,28684.0,30674.0,30367.0,29505.0,30271.0,10458.0,29258.0,29402.0,29664.0,31433.0,31205.0,32040.0,10877.0,31642.0,31617.0,29916.0,31667.0,33012.0,32787.0,32576.0,10636.0,29109.0,30524.0
OrientalAve.,16511.0,23624.0,20236.0,0.0,9732.0,9555.0,25810.0,25302.0,24769.0,25340.0,19924.0,24401.0,24556.0,24668.0,26589.0,26381.0,27099.0,20117.0,26700.0,26698.0,25015.0,26698.0,28083.0,27996.0,27788.0,19225.0,24583.0,25700.0
VermontAve.,16538.0,23577.0,20189.0,9628.0,0.0,9747.0,25849.0,25276.0,24778.0,25382.0,19904.0,24331.0,24443.0,24518.0,26760.0,26464.0,27215.0,20194.0,26739.0,26839.0,25005.0,26826.0,28127.0,27977.0,27712.0,19249.0,24515.0,25680.0
ConnecticutAve.,16582.0,23661.0,20170.0,9655.0,9950.0,0.0,25926.0,25439.0,24923.0,25508.0,19881.0,24358.0,24515.0,24597.0,26796.0,26510.0,27224.0,20098.0,26778.0,26781.0,25123.0,26716.0,28379.0,28330.0,27968.0,19271.0,24598.0,25714.0
St.CharlesPlace,16153.0,23031.0,19126.0,23233.0,23357.0,23140.0,0.0,24596.0,9635.0,9831.0,19113.0,23754.0,23905.0,24096.0,26156.0,26001.0,26548.0,19319.0,26175.0,26008.0,24443.0,26089.0,27670.0,27669.0,27411.0,18530.0,23951.0,25004.0
ElectricCompany,15023.0,21548.0,17882.0,21824.0,21921.0,21818.0,23751.0,0.0,22829.0,23313.0,17755.0,22508.0,22589.0,22752.0,24685.0,24431.0,25142.0,17979.0,24780.0,24672.0,9440.0,24762.0,26224.0,26213.0,25920.0,17343.0,22732.0,23844.0
StatesAve.,15836.0,22522.0,18705.0,22608.0,22706.0,22520.0,9955.0,24053.0,0.0,9891.0,18668.0,23416.0,23597.0,23768.0,25657.0,25390.0,26036.0,18857.0,25701.0,25595.0,23896.0,25696.0,27102.0,27076.0,26745.0,18174.0,23641.0,24666.0
VirginiaAve.,15878.0,22675.0,18990.0,22800.0,22952.0,22737.0,9892.0,24248.0,9654.0,0.0,18885.0,23590.0,23653.0,23830.0,25771.0,25574.0,26147.0,19150.0,25883.0,25791.0,24067.0,25767.0,27340.0,27280.0,27098.0,18301.0,23574.0,24665.0
PennsylvaniaRailroad,19458.0,27992.0,10380.0,28287.0,28548.0,28191.0,30659.0,30012.0,29471.0,30104.0,0.0,29052.0,29282.0,29481.0,31199.0,30975.0,31743.0,10595.0,31400.0,31271.0,29692.0,31277.0,32657.0,32589.0,32108.0,10558.0,28886.0,30253.0
St.JamesPlace,17129.0,24365.0,20673.0,24503.0,24696.0,24367.0,26808.0,26436.0,25784.0,26319.0,20482.0,0.0,9999.0,9973.0,27487.0,27358.0,28163.0,20979.0,27854.0,27775.0,25999.0,27717.0,29273.0,29154.0,28971.0,20002.0,25569.0,26782.0
TennesseeAve.,17138.0,24357.0,20731.0,24546.0,24744.0,24486.0,26785.0,26414.0,25796.0,26262.0,20574.0,9972.0,0.0,10170.0,27585.0,27441.0,28176.0,21021.0,27988.0,27867.0,25972.0,27951.0,29265.0,29134.0,28912.0,20002.0,25476.0,26669.0
NewYorkAve.,17034.0,24247.0,20648.0,24503.0,24682.0,24366.0,26775.0,26332.0,25789.0,26197.0,20442.0,9700.0,10042.0,0.0,27497.0,27351.0,28160.0,20923.0,27727.0,27660.0,25856.0,27611.0,29204.0,29105.0,28887.0,19968.0,25416.0,26683.0
KentuckyAve.,15579.0,22150.0,18189.0,22242.0,22591.0,22293.0,24371.0,23893.0,23571.0,23963.0,18195.0,22961.0,23181.0,23233.0,0.0,9945.0,10152.0,18441.0,25367.0,25453.0,23618.0,25496.0,26942.0,26906.0,26614.0,17830.0,23433.0,24449.0
IndianaAve.,15490.0,22105.0,18323.0,22271.0,22459.0,22184.0,24508.0,23901.0,23617.0,24047.0,18207.0,23082.0,23281.0,23346.0,10210.0,0.0,10439.0,18550.0,25443.0,25389.0,23618.0,25373.0,27011.0,26880.0,26517.0,17788.0,23480.0,24412.0
IllinoisAve.,15732.0,22433.0,18454.0,22496.0,22852.0,22484.0,24666.0,24207.0,23797.0,24239.0,18369.0,23272.0,23382.0,23557.0,10031.0,10098.0,0.0,18708.0,25782.0,25736.0,23964.0,25755.0,27304.0,27144.0,26801.0,17976.0,23745.0,24843.0
B.andO.Railroad,19395.0,27959.0,10438.0,28182.0,28467.0,28139.0,30422.0,30039.0,29208.0,29952.0,10235.0,29048.0,29326.0,29426.0,31309.0,31081.0,31939.0,0.0,31433.0,31329.0,29701.0,31314.0,32407.0,32341.0,31937.0,10442.0,28729.0,30087.0
AtlanticAve.,15385.0,21658.0,17896.0,21692.0,21884.0,21722.0,23925.0,23363.0,23063.0,23494.0,17756.0,22594.0,22828.0,22762.0,24836.0,24665.0,25377.0,18107.0,0.0,9994.0,23123.0,10084.0,26359.0,26408.0,26293.0,17494.0,22961.0,24008.0
VentnorAve.,15497.0,21838.0,18068.0,21872.0,22091.0,21851.0,23959.0,23492.0,23071.0,23510.0,17798.0,22756.0,22944.0,22998.0,25078.0,24796.0,25476.0,18187.0,10145.0,0.0,23314.0,10225.0,26442.0,26396.0,26348.0,17487.0,22971.0,24000.0
WaterWorks,15087.0,21672.0,17859.0,21759.0,21902.0,21782.0,23748.0,9807.0,22875.0,23300.0,17750.0,22509.0,22567.0,22677.0,24747.0,24526.0,25221.0,18034.0,24954.0,24865.0,0.0,24897.0,26259.0,26177.0,25865.0,17218.0,22919.0,24005.0
MarvinGardens,15251.0,21436.0,17829.0,21590.0,21839.0,21516.0,23702.0,23290.0,22876.0,23262.0,17516.0,22488.0,22750.0,22710.0,24821.0,24376.0,25116.0,17795.0,9958.0,9923.0,23017.0,0.0,26288.0,26347.0,26214.0,17283.0,22779.0,23788.0
PacificAve.,14342.0,20304.0,16240.0,20271.0,20502.0,20422.0,22411.0,21899.0,21642.0,22149.0,16075.0,21200.0,21259.0,21419.0,23507.0,23223.0,23906.0,16220.0,23538.0,23439.0,21593.0,23614.0,0.0,10255.0,10211.0,15735.0,21718.0,22695.0
NorthCarolinaAve.,14424.0,20350.0,16203.0,20292.0,20475.0,20510.0,22471.0,21932.0,21663.0,22114.0,16208.0,21212.0,21276.0,21477.0,23507.0,23201.0,23756.0,16207.0,23661.0,23463.0,21619.0,23696.0,10354.0,0.0,10178.0,15776.0,21690.0,22753.0
PennsylvaniaAve.,14297.0,20111.0,16169.0,20175.0,20176.0,20182.0,22197.0,21740.0,21362.0,21937.0,15958.0,20993.0,21034.0,21210.0,23180.0,22847.0,23509.0,16046.0,23548.0,23271.0,21326.0,23583.0,10272.0,10127.0,0.0,15626.0,21480.0,22493.0
ShortLineRailroad,18981.0,27168.0,10312.0,27375.0,27595.0,27384.0,29595.0,29272.0,28430.0,29067.0,10253.0,28299.0,28503.0,28704.0,30552.0,30286.0,31074.0,10501.0,30659.0,30477.0,28848.0,30540.0,31823.0,31681.0,31281.0,0.0,28049.0,29399.0
ParkPlace,15322.0,21648.0,18128.0,21906.0,21964.0,21810.0,23911.0,23567.0,23181.0,23469.0,17974.0,22957.0,22900.0,23125.0,25145.0,24875.0,25663.0,18160.0,25262.0,25077.0,23489.0,25246.0,26766.0,26634.0,26264.0,17398.0,0.0,9812.0
Boardwalk,15938.0,22519.0,18734.0,22600.0,22603.0,22522.0,24607.0,24282.0,23810.0,24123.0,18550.0,23554.0,23457.0,23742.0,25767.0,25442.0,26372.0,18725.0,25879.0,25749.0,24227.0,25847.0,27563.0,27488.0,27127.0,17931.0,9480.0,0.0
