0.00,16.00,2.00,5.00,0.00,0.00,1.00,0.00,3.00,0.00,27.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
587.00,1439.00,0.00,175.00,23.00,7.00,1.00,0.00,1.00,4.00,2237.00
0.00,2960.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,265.00,3225.00
321.00,962.00,692.00,1620.00,0.00,159.00,70.00,11.00,49.00,124.00,4008.00
262.00,730.00,618.00,1836.00,396.00,0.00,94.00,14.00,87.00,140.00,4177.00
242.00,634.00,548.00,1733.00,478.00,401.00,0.00,20.00,109.00,231.00,4396.00
83.00,258.00,153.00,819.00,204.00,202.00,169.00,0.00,104.00,398.00,2390.00
149.00,734.00,248.00,861.00,197.00,180.00,94.00,26.00,0.00,315.00,2804.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1644.00,7733.00,2261.00,7049.00,1298.00,949.00,429.00,71.00,353.00,1477.00,
Brown,Light Blue,Pink,Orange,Red,Yellow,Green,Dark Blue,Utility,Railroad,
,,,,,,,,,,
,,,,,,,,,,
Light Blue,Orange,Pink,Brown,Railroad,Red,Yellow,Green,Utility,Dark Blue,
